epoch	train_loss	train_acc	dev_acc
19.9	0.008	97.8	96.0
20.0	0.008	98.7	97.0
20.1	0.003	98.7	97.0
20.2	0.005	97.3	96.0
20.3	0.006	98.0	94.0
20.4	0.008	98.4	98.0
20.5	0.008	98.7	97.0
20.6	0.005	98.2	97.0
20.7	0.009	98.2	97.0
20.8	0.005	98.8	95.0
20.9	0.011	98.0	98.0
21.0	0.007	98.0	97.0
21.1	0.007	97.2	96.0
21.2	0.004	98.0	98.0
21.3	0.004	98.5	99.0
21.4	0.009	96.5	97.0
21.5	0.006	98.2	95.0
21.6	0.008	98.6	96.0
21.7	0.011	97.6	95.0
21.8	0.009	98.2	94.0
21.9	0.004	98.4	100.0
22.0	0.008	98.9	96.0
22.1	0.008	98.7	96.0
22.2	0.005	99.2	97.0
22.3	0.007	97.7	97.0
22.4	0.006	98.9	99.0
22.5	0.005	99.0	99.0
22.6	0.006	97.9	96.0
22.7	0.005	98.5	96.0
22.8	0.005	98.0	98.0
22.9	0.008	98.5	97.0
23.0	0.006	98.3	98.0
23.1	0.006	98.5	98.0
23.2	0.005	98.8	99.0
23.3	0.007	97.8	97.0
23.4	0.006	98.3	98.0
23.5	0.007	98.6	97.0
23.6	0.01	98.9	99.0
23.7	0.004	98.6	98.0
23.8	0.01	98.4	95.0
23.9	0.007	99.4	97.0
24.0	0.007	98.4	98.0
24.1	0.007	98.7	98.0
24.2	0.007	99.0	96.0
24.3	0.008	98.6	97.0
24.4	0.008	98.4	98.0
24.5	0.005	98.5	99.0
24.6	0.006	98.6	98.0
24.7	0.007	97.9	95.0
24.8	0.007	97.9	96.0
24.9	0.006	98.2	97.0
25.0	0.009	96.2	94.0
25.1	0.006	98.3	94.0
25.2	0.006	98.9	93.0
25.3	0.007	97.6	97.0
25.4	0.005	99.0	96.0
25.5	0.006	98.6	96.0
25.6	0.006	98.4	96.0
25.7	0.007	98.0	96.0
25.8	0.006	98.3	97.0
25.9	0.008	98.5	97.0
26.0	0.008	98.2	96.0
26.1	0.007	97.9	96.0
26.2	0.007	98.9	97.0
26.3	0.004	98.6	98.0
26.4	0.004	98.6	97.0
26.5	0.003	98.7	96.0
26.6	0.007	97.4	93.0
26.7	0.01	97.4	98.0
26.8	0.008	97.7	96.0
26.9	0.012	98.6	96.0
27.0	0.005	98.3	96.0
27.1	0.007	98.3	96.0
27.2	0.003	98.7	97.0
27.3	0.008	97.8	95.0
27.4	0.006	97.9	95.0
27.5	0.007	98.3	97.0
27.6	0.007	98.0	93.0
27.7	0.009	97.6	94.0
27.8	0.007	98.2	94.0
27.9	0.009	97.3	98.0
28.0	0.009	98.2	98.0
28.1	0.004	97.8	98.0
28.2	0.006	98.1	98.0
28.3	0.014	98.4	98.0
28.4	0.007	97.6	96.0
28.5	0.007	99.3	96.0
28.6	0.005	98.8	96.0
28.7	0.005	97.2	97.0
28.8	0.006	97.6	97.0
28.9	0.006	97.9	98.0
29.0	0.009	97.0	95.0
29.1	0.003	98.9	97.0
29.2	0.005	98.6	97.0
29.3	0.006	98.5	96.0
29.4	0.004	98.5	98.0
29.5	0.007	96.8	95.0
29.6	0.006	98.0	95.0
29.7	0.007	98.0	98.0
29.8	0.007	97.5	96.0
29.9	0.01	97.9	98.0
30.0	0.007	97.4	96.0
30.1	0.008	98.1	96.0
30.2	0.005	98.7	97.0
30.3	0.007	98.6	99.0
30.4	0.003	98.4	97.0
30.5	0.01	97.9	97.0
30.6	0.009	97.7	96.0
30.7	0.008	97.4	93.0
30.8	0.015	98.2	97.0
30.9	0.007	98.1	97.0
31.0	0.012	97.5	94.0
31.1	0.004	97.9	95.0
31.2	0.004	97.9	94.0
31.3	0.008	98.1	95.0
31.4	0.009	97.7	96.0
